index,AL,AT,BA,BE,BG,CH,CY,CZ,DE_LU,DK_1,DK_2,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IS,IT,IT_BRNN,IT_CALA,IT_CNOR,IT_CSUD,IT_FOGN,IT_NORD,IT_PRGP,IT_ROSN,IT_SARD,IT_SICI,IT_SUD,LT,LV,MD,ME,MK,MT,NL,NO_1,NO_2,NO_3,NO_4,NO_5,PL,PT,RO,RS,SE_1,SE_2,SE_3,SE_4,SI,SK,TR,UA,UA_BEI,UA_IPS,XK
2018-01-01 00:00:00+01:00,,-5.27,,14.16,9.38,36.99,,-10.0,-5.27,21.8,26.33,26.33,6.74,26.33,6.74,48.3,,58.09,9.15,4.29,,,,45.73,,45.73,45.73,45.73,45.73,46.99,45.73,45.73,46.99,45.73,26.33,26.33,,,,,27.2,26.33,26.33,26.33,26.33,26.33,28.11,28.1,4.3,0.16,26.33,26.33,26.33,26.33,4.9,-10.0,,,,,
2018-01-01 01:00:00+01:00,,-29.99,,4.74,9.33,31.08,,-19.0,-29.99,26.43,26.43,26.43,4.74,26.43,4.74,53.03,,57.96,15.5,0.22,,,,44.16,,44.16,44.16,44.16,44.16,44.16,44.16,44.16,44.16,44.16,26.43,26.43,,,,,27.3,26.43,26.43,26.43,26.43,26.43,27.93,33.0,0.22,0.0,26.43,26.43,26.43,26.43,3.0,-19.0,,,,,
2018-01-01 02:00:00+01:00,,-56.65,,3.66,9.34,29.17,,-20.1,-56.65,26.1,26.1,26.1,3.66,26.1,3.66,61.42,,54.58,14.25,0.21,,,,42.24,,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,42.24,26.1,26.1,,,,,30.1,26.1,26.1,26.1,26.1,26.1,26.39,32.9,0.21,0.0,26.1,26.1,26.1,26.1,1.0,-20.1,,,,,
2018-01-01 03:00:00+01:00,,-63.14,,1.26,9.35,21.96,,-26.9,-63.14,24.7,24.7,24.7,2.3,24.7,1.26,52.45,,54.47,12.95,0.07,,,,39.29,,39.29,39.29,39.29,39.29,39.29,39.29,39.29,39.29,39.29,24.7,24.7,,,,,20.87,24.7,24.7,24.7,24.7,24.7,24.98,28.1,0.11,0.0,24.7,24.7,24.7,24.7,1.0,-26.9,,,,,
2018-01-01 04:00:00+01:00,,-64.62,,-20.1,9.47,14.96,,-27.5,-64.62,24.74,24.74,24.74,2.3,24.74,-20.1,44.88,,54.85,9.15,-17.44,,,,36.0,,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,24.74,24.74,,,,,25.56,24.74,24.74,24.74,24.74,24.74,25.02,27.6,0.21,0.0,24.74,24.74,24.74,24.74,-42.5,-27.5,,,,,
2018-01-01 05:00:00+01:00,,-67.0,,-31.82,9.56,-5.92,,-34.0,-67.0,18.01,18.01,18.01,2.06,18.01,-31.82,26.33,,54.85,10.45,-25.97,,,,41.99,,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,41.99,18.01,18.01,,,,,25.58,24.76,24.76,24.67,24.67,24.76,18.21,24.6,0.21,0.0,18.01,18.01,18.01,18.01,-67.0,-34.0,,,,,
2018-01-01 06:00:00+01:00,,-72.54,,-28.66,9.66,-6.1,,-35.0,-72.54,10.18,10.18,17.78,2.06,17.78,-28.66,26.55,,53.78,10.7,0.03,,,,42.25,,42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25,42.25,17.78,17.78,,,,,25.81,24.98,24.98,24.98,24.98,24.98,17.6,20.1,0.03,0.0,17.78,17.78,17.78,17.78,-72.54,-35.0,,,,,
2018-01-01 07:00:00+01:00,,-76.01,,-13.71,9.76,-10.02,,-30.0,-76.01,17.8,17.8,17.8,2.06,17.8,-13.71,33.7,,52.57,10.63,0.03,,,,44.97,,44.97,44.97,44.97,44.97,44.97,44.97,44.97,44.97,44.97,17.8,17.8,,,,,29.9,25.71,25.71,25.61,25.61,25.71,17.12,19.9,0.03,0.0,17.8,17.8,17.8,17.8,-76.01,-30.0,,,,,
2018-01-01 08:00:00+01:00,,-71.45,,-19.33,22.51,-5.71,,-35.0,-71.45,19.76,19.76,19.76,2.3,19.76,-4.14,27.09,,42.8,14.52,0.08,,,,45.0,,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,19.76,19.76,,,,,26.33,25.48,25.48,25.48,25.48,25.48,17.11,19.84,0.08,2.8,19.76,19.76,19.76,19.76,-50.0,-35.0,,,,,
2018-01-01 09:00:00+01:00,,-66.88,,-15.78,22.51,-1.88,,-21.0,-66.88,20.73,20.73,20.73,2.3,20.73,2.03,27.15,,50.18,10.55,0.11,,,,44.94,,44.94,44.94,44.94,44.94,44.94,44.94,44.94,44.94,44.94,20.73,20.73,,,,,26.38,25.54,25.54,25.54,25.54,25.54,20.96,19.9,0.11,10.29,20.73,20.73,20.73,20.73,0.15,-21.0,,,,,
2018-01-01 10:00:00+01:00,,-62.0,,-12.05,22.52,-10.48,,-4.01,-62.0,24.76,24.76,24.76,2.3,24.76,-15.51,47.23,,50.65,10.65,0.21,,,,45.0,,45.04,45.0,45.0,45.04,45.0,45.0,45.0,45.0,45.0,24.76,24.76,,,,,29.9,26.07,26.07,26.07,26.07,26.07,25.51,19.9,0.21,11.94,24.76,24.76,24.76,24.76,0.15,-4.01,,,,,
2018-01-01 11:00:00+01:00,,-56.08,,-0.42,22.52,-6.79,,-2.0,-56.08,25.68,25.68,25.68,2.3,25.68,-0.42,64.1,,50.64,-1.85,0.21,,,,44.16,,46.67,44.16,44.16,46.67,44.16,44.16,44.16,44.16,44.16,25.68,25.68,,,,,34.9,26.12,26.12,26.12,26.12,26.12,28.1,19.9,0.21,18.32,25.68,25.68,25.68,25.68,0.15,-2.0,,,,,
2018-01-01 12:00:00+01:00,,-49.96,,2.3,22.52,8.57,,-4.01,-49.96,16.56,19.99,24.09,2.3,24.09,2.3,48.81,,52.83,3.6,0.21,,,,46.99,,46.99,46.99,46.99,46.99,46.99,46.99,39.3,46.99,46.99,24.09,24.09,,,,,35.8,26.16,26.16,26.16,26.16,26.16,28.16,23.6,0.21,13.07,24.09,24.09,24.09,24.09,-19.01,-4.01,,,,,
2018-01-01 13:00:00+01:00,,-24.29,,2.3,22.52,8.53,,-2.01,-24.29,13.21,25.01,25.01,2.3,25.01,2.3,58.32,,51.17,3.25,0.21,,,,44.16,,44.16,44.16,44.16,44.16,44.16,44.16,39.29,44.16,44.16,25.01,25.01,,,,,40.4,26.19,26.19,26.19,26.19,26.19,28.18,25.1,0.21,10.06,25.01,25.01,25.01,25.01,-17.01,-2.01,,,,,
2018-01-01 14:00:00+01:00,,-5.59,,13.76,22.52,8.52,,1.85,-5.59,9.15,25.81,25.81,5.0,25.81,5.0,61.85,,52.88,6.25,2.15,,,,45.01,,45.26,45.01,45.01,45.26,45.01,45.01,39.29,45.01,45.01,25.81,25.81,,,,,34.15,26.19,26.19,26.19,26.19,26.19,28.19,23.6,2.15,10.05,25.81,25.81,25.81,25.81,-5.59,1.85,,,,,
2018-01-01 15:00:00+01:00,,0.23,,15.43,22.52,8.6,,6.03,0.23,13.29,26.46,26.46,5.0,26.46,8.56,61.85,,51.87,6.3,6.03,,,,47.84,,47.84,47.84,47.84,47.84,47.84,47.84,39.3,47.84,47.84,26.46,26.46,,,,,31.0,26.46,26.46,26.46,26.46,26.46,28.18,24.6,6.04,13.13,26.46,26.46,26.46,26.46,0.23,6.03,,,,,
2018-01-01 16:00:00+01:00,,11.02,,25.46,22.52,16.98,,15.0,11.02,27.03,27.03,27.03,5.0,27.03,9.42,65.08,,52.93,13.45,15.0,,,,49.7,,49.7,49.7,49.7,50.1,49.7,49.7,49.7,49.7,49.7,27.03,27.03,,,,,30.0,27.03,27.03,27.03,27.03,27.03,28.28,25.1,15.02,18.47,27.03,27.03,27.03,27.03,11.02,15.0,,,,,
2018-01-01 17:00:00+01:00,,23.5,,32.7,22.52,37.43,,22.38,23.5,27.43,27.43,27.43,8.85,27.43,12.46,65.18,,51.27,20.65,22.38,,,,54.3,,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,27.43,27.43,,,,,34.3,27.43,27.43,27.43,27.43,27.43,28.18,27.6,22.41,30.32,27.43,27.43,27.43,27.43,23.5,22.38,,,,,
2018-01-01 18:00:00+01:00,,22.91,,32.7,22.52,41.19,,25.99,22.91,27.29,27.29,27.29,15.93,27.29,15.93,84.44,,51.29,23.95,25.99,,,,51.91,,51.91,51.91,51.91,51.91,51.91,51.91,51.91,51.91,51.91,27.29,27.29,,,,,30.5,27.29,27.29,27.29,27.29,27.29,28.21,27.6,17.19,28.95,27.29,27.29,27.29,27.29,22.91,25.99,,,,,
2018-01-01 19:00:00+01:00,,21.02,,23.42,22.52,44.61,,26.54,21.02,26.96,26.96,26.96,22.02,26.96,22.02,65.18,,53.0,26.85,26.54,,,,51.38,,51.38,51.38,51.38,51.38,51.38,51.38,51.38,51.38,51.38,26.96,26.96,,,,,32.0,26.96,26.96,26.96,26.96,26.96,28.29,28.1,18.7,28.62,26.96,26.96,26.96,26.96,21.02,26.54,,,,,
2018-01-01 20:00:00+01:00,,21.05,,20.34,22.52,40.67,,28.7,21.05,26.7,26.7,26.7,20.0,26.7,20.0,57.89,,53.12,35.03,28.7,,,,49.2,,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,26.7,26.7,,,,,32.0,26.7,26.7,26.7,26.7,26.7,28.29,32.9,12.68,32.1,26.7,26.7,26.7,26.7,21.05,28.7,,,,,
2018-01-01 21:00:00+01:00,,21.95,,21.95,22.51,39.42,,26.0,21.95,26.47,26.47,26.47,21.95,26.47,21.95,62.33,,51.84,32.43,26.0,,,,45.73,,45.73,45.73,45.73,45.73,45.73,45.73,45.73,45.73,45.73,26.47,26.47,,,,,27.34,26.47,26.47,26.47,26.47,26.47,28.18,28.1,8.6,35.07,26.47,26.47,26.47,26.47,21.95,26.0,,,,,
2018-01-01 22:00:00+01:00,,23.52,,23.52,22.52,36.06,,25.02,23.52,26.09,26.09,26.09,23.52,26.09,23.52,56.82,,52.96,30.55,25.02,,,,44.84,,44.84,44.84,44.84,44.84,44.84,44.84,44.84,44.84,44.84,26.09,26.09,,,,,27.4,26.09,26.09,26.09,26.09,26.09,28.13,28.1,6.45,30.82,26.09,26.09,26.09,26.09,23.52,25.02,,,,,
2018-01-01 23:00:00+01:00,,18.96,,16.35,22.51,32.98,,17.35,18.96,24.88,24.88,24.88,16.35,24.88,16.35,43.24,,53.01,23.23,17.35,,,,38.11,,38.11,38.11,38.11,38.11,38.11,38.11,38.11,38.11,38.11,24.88,24.88,,,,,23.79,25.02,25.02,25.77,25.77,25.02,28.11,27.6,4.3,24.6,24.88,24.88,24.88,24.88,18.96,17.35,,,,,
2018-01-02 00:00:00+01:00,,18.12,,13.02,22.51,36.39,,17.99,18.12,18.12,18.12,25.28,14.43,25.28,14.43,38.18,,50.63,18.8,17.99,,,,19.19,,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,25.28,25.28,,,,,25.07,25.9,25.9,25.9,25.9,25.9,26.95,19.9,6.45,19.76,25.28,25.28,25.28,25.28,18.12,17.99,,,,,
2018-01-02 01:00:00+01:00,,14.99,,8.45,22.5,36.54,,16.91,14.99,14.99,14.99,23.16,10.26,23.16,10.26,50.46,,50.61,17.7,16.91,,,,14.99,,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,23.16,23.16,,,,,23.19,25.52,25.52,25.52,25.52,25.52,26.77,27.6,4.3,17.65,23.16,23.16,23.16,23.16,14.99,16.91,,,,,
2018-01-02 02:00:00+01:00,,13.63,,5.09,22.5,30.97,,13.92,13.63,17.79,17.79,24.78,7.48,24.78,7.48,56.17,,43.0,11.55,13.92,,,,11.0,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.78,24.78,,,,,25.03,25.86,25.86,25.58,25.58,25.86,26.64,19.9,2.15,14.55,24.78,24.78,24.78,24.78,11.0,13.92,,,,,
2018-01-02 03:00:00+01:00,,12.15,,1.64,22.51,19.98,,10.27,12.15,24.51,24.51,25.03,4.52,25.03,4.52,52.55,,44.4,10.2,10.27,,,,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,25.03,25.03,,,,,24.76,25.58,25.58,25.53,25.53,25.58,26.7,19.84,0.22,14.5,25.03,25.03,25.03,25.03,10.0,10.27,,,,,
2018-01-02 04:00:00+01:00,,11.83,,1.41,22.52,21.6,,12.7,11.83,11.83,17.82,25.73,4.24,25.73,4.24,52.54,,46.0,12.77,12.7,,,,11.83,,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,25.73,25.73,,,,,24.91,25.73,25.73,25.73,25.73,25.73,27.0,19.1,0.22,14.58,25.73,25.73,25.73,25.73,11.83,12.7,,,,,
2018-01-02 05:00:00+01:00,,14.55,,8.36,22.53,38.4,,17.99,14.55,14.55,26.84,26.84,8.36,26.84,8.36,51.55,,46.0,18.38,17.99,,,,14.99,,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,26.84,26.84,,,,,25.98,26.84,26.84,26.84,26.84,26.84,29.13,19.9,0.22,18.83,26.84,26.84,26.84,26.84,14.55,17.99,,,,,
2018-01-02 06:00:00+01:00,,22.58,,22.58,24.95,41.04,,27.65,22.58,22.58,27.8,27.8,22.58,27.8,22.58,51.38,,51.18,27.47,27.65,,,,40.6,,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,27.8,27.8,,,,,22.58,27.8,27.8,27.8,27.8,27.8,34.8,22.58,0.11,35.02,27.8,27.8,27.8,27.8,22.58,27.65,,,,,
