index,AL,AT,BA,BE,BG,CH,CY,CZ,CZ+DE+SK,DE_LU,DK_1,DK_2,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE(SEM),IE,IT,IT_BRNN,IT_CALA,IT_CNOR,IT_CSUD,IT_FOGN,IT_NORD,IT_ROSN,IT_SARD,IT_SICI,IT_SUD,LT,LV,MD,ME,MK,MT,NL,NO_1,NO_2,NO_3,NO_4,NO_5,PL,PT,RO,RS,SE_1,SE_2,SE_3,SE_4,SI,SK,TR,UA,UA_BEI,UA_IPS,XK,IS
2021-01-01 00:00:00+01:00,,50.87,,50.87,49.95,50.98,,45.54,,50.87,50.87,50.87,24.95,50.87,24.95,50.87,,,50.87,50.87,45.54,,55.09,,,50.87,50.87,50.87,,50.87,,50.87,50.87,50.87,24.95,24.95,,,,,50.87,24.95,24.95,23.77,18.65,24.95,34.18,50.87,45.59,38.89,24.95,24.95,24.95,24.95,50.87,45.54,,21.04,33.68,21.04,,
2021-01-01 01:00:00+01:00,,48.19,,48.19,48.05,45.94,,41.59,,48.19,48.19,48.19,24.35,48.19,24.35,48.19,,,48.19,48.19,41.59,,54.02,,,48.19,48.19,48.19,,48.19,,48.19,48.19,48.19,24.35,24.35,,,,,48.19,24.35,24.35,22.93,18.61,24.35,32.61,48.19,41.63,34.86,24.35,24.35,24.35,24.35,48.19,41.59,,21.04,33.68,21.04,,
2021-01-01 02:00:00+01:00,,44.68,,44.68,49.62,44.53,,40.05,,44.68,44.68,44.68,23.98,44.68,23.98,44.68,,,44.68,44.68,40.05,,53.0,,,44.68,44.68,44.68,,44.68,,44.68,44.68,44.68,23.98,23.98,,,,,44.68,23.98,23.98,23.68,18.57,23.98,32.58,44.68,40.09,33.62,23.98,23.98,23.98,23.98,44.68,40.05,,20.93,33.68,20.93,,
2021-01-01 03:00:00+01:00,,42.92,,42.92,46.73,41.01,,36.9,,42.92,42.92,42.92,23.72,38.5,23.72,42.92,,,42.92,42.92,36.9,,51.24,,,42.92,42.92,42.92,,42.92,,42.92,42.92,42.92,23.72,23.72,,,,,42.92,23.72,23.72,23.63,18.57,23.72,32.2,38.5,36.94,28.25,23.72,23.72,23.72,23.72,42.92,36.9,,20.93,33.68,20.93,,
2021-01-01 04:00:00+01:00,,40.39,,40.39,45.39,39.23,,34.47,,40.39,40.39,40.39,23.73,36.8,23.73,40.39,,,40.39,40.39,34.47,,48.13,,,40.39,40.39,40.39,,40.39,,40.39,40.39,40.39,23.73,23.73,,,,,40.39,23.73,23.73,23.71,18.59,23.73,29.16,36.8,34.5,29.03,23.73,23.73,23.73,23.73,40.39,34.47,,20.93,33.68,20.93,,
2021-01-01 05:00:00+01:00,,40.2,,40.2,44.25,38.43,,32.82,,40.2,40.2,40.2,24.06,36.55,24.06,40.2,,,20.96,40.2,32.82,,47.3,,,40.2,40.2,40.2,,40.2,,40.2,40.2,40.2,24.06,24.06,,,,,40.2,24.06,24.06,23.89,18.67,24.06,28.46,36.55,32.86,29.22,24.06,24.06,24.06,24.06,40.2,32.82,,19.56,33.68,19.56,,
2021-01-01 06:00:00+01:00,,39.63,,39.63,36.34,39.57,,30.71,,39.63,39.63,39.63,24.44,36.6,24.44,39.63,,,39.63,39.63,27.7,,47.63,,,39.63,39.63,39.63,,39.63,,39.63,39.63,39.63,24.44,24.44,,,,,39.63,24.44,24.44,24.36,18.71,24.44,28.11,36.6,27.73,29.71,24.44,24.44,24.44,24.44,39.63,27.7,,26.27,62.19,26.27,,
2021-01-01 07:00:00+01:00,,40.09,,40.09,19.97,40.78,,15.0,,40.09,40.09,40.09,24.93,36.55,24.93,40.09,,,40.1,5.91,15.0,,45.36,,,40.09,40.09,40.09,,40.09,,40.09,40.09,40.09,24.93,24.93,,,,,40.09,24.93,24.93,24.93,18.52,24.93,28.46,36.55,15.02,1.08,24.93,24.93,24.93,24.93,5.91,15.0,,26.97,62.19,26.97,,
2021-01-01 08:00:00+01:00,,41.27,,41.27,20.0,42.72,,8.43,,41.27,41.27,41.27,24.9,36.55,24.9,41.27,,,20.0,41.27,8.43,,43.45,,,41.27,41.27,41.27,,41.27,,41.27,41.27,41.27,24.9,24.9,,,,,41.27,24.9,24.9,24.9,18.62,24.9,28.46,36.55,8.43,1.1,24.9,24.9,24.9,24.9,41.27,8.43,,33.01,62.19,33.01,,
2021-01-01 09:00:00+01:00,,44.88,,44.88,20.43,44.32,,26.2,,44.88,44.88,44.88,25.07,36.55,25.07,44.88,,,40.74,41.67,20.77,,47.79,,,41.67,41.67,41.67,,41.67,,41.67,41.67,41.67,25.07,25.07,,,,,44.88,25.07,25.07,25.07,18.8,25.07,30.62,36.55,20.79,36.07,25.07,25.07,25.07,25.07,41.67,20.77,,33.26,62.19,33.26,,
