index,AL,AT,BA,BE,BG,CH,CY,CZ,CZ+DE+SK,DE_LU,DK_1,DK_2,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE(SEM),IE,IT,IT_BRNN,IT_CALA,IT_CNOR,IT_CSUD,IT_FOGN,IT_NORD,IT_ROSN,IT_SARD,IT_SICI,IT_SUD,LT,LV,MD,ME,MK,MT,NL,NO_1,NO_2,NO_3,NO_4,NO_5,PL,PT,RO,RS,SE_1,SE_2,SE_3,SE_4,SI,SK,TR,UA,UA_BEI,UA_IPS,XK,IS
2019-01-01 00:00:00+01:00,,33.48,,69.49,24.51,50.26,,8.5,,28.32,28.32,28.32,28.32,66.88,28.32,51.0,66.81,,74.12,51.0,59.9,,70.13,,,,51.0,51.0,,51.0,51.0,51.0,51.0,51.0,28.32,28.32,,,,,68.92,48.77,48.77,45.36,45.36,48.77,23.41,66.88,59.85,69.51,28.32,28.32,28.32,28.32,51.0,8.5,,,,,,
2019-01-01 01:00:00+01:00,,39.76,,66.58,24.5,48.74,,3.97,,10.07,10.07,10.07,10.07,66.88,10.07,46.27,66.93,,67.87,46.27,52.71,,70.28,,,,46.27,46.27,,46.27,46.27,46.27,46.27,46.27,10.07,10.07,,,,,64.98,49.25,49.25,45.31,45.31,49.25,10.04,66.88,52.67,51.08,10.07,10.07,10.07,10.07,46.27,3.97,,,,,,
2019-01-01 02:00:00+01:00,,39.78,,65.07,24.08,47.24,,4.7,,-4.08,-4.08,-4.08,10.03,66.0,10.03,39.78,62.07,,68.02,39.78,36.49,,65.18,,,,39.78,39.78,,39.78,39.78,39.78,39.78,39.78,10.03,10.03,,,,,60.27,49.17,49.17,45.37,45.37,49.17,10.03,66.0,36.46,34.03,10.03,10.03,10.03,10.03,39.78,4.7,,,,,,
2019-01-01 03:00:00+01:00,,27.87,,52.17,24.06,36.29,,0.93,,-9.91,-9.91,-9.91,4.56,63.64,4.56,27.87,51.45,,70.0,27.87,31.24,,60.91,,,,27.87,27.87,,27.87,27.87,27.87,27.87,27.87,4.56,4.56,,,,,49.97,48.37,48.37,45.21,45.21,48.37,7.8,63.64,31.22,28.49,4.56,4.56,4.56,4.56,27.87,0.93,,,,,,
2019-01-01 04:00:00+01:00,,-0.36,,47.66,22.54,30.09,,3.9,,-7.41,-7.41,-7.41,4.83,58.85,4.83,23.21,49.07,,70.0,-0.36,25.98,,65.16,,,,22.0,22.0,,22.0,22.0,22.0,22.0,22.0,4.83,4.83,,,,,47.66,47.19,47.19,44.9,44.9,47.19,6.94,58.85,25.96,26.95,4.83,4.83,4.83,4.83,-0.36,3.9,,,,,,
2019-01-01 05:00:00+01:00,,-4.45,,50.87,24.04,27.31,,7.95,,-12.55,-12.55,-12.55,8.09,55.47,8.09,22.64,49.41,,64.83,-4.45,26.69,,65.16,,,,20.0,20.0,,20.0,20.0,20.0,20.0,20.0,8.09,8.09,,,,,48.0,47.37,47.37,45.16,45.16,47.37,8.06,55.47,26.67,30.9,8.09,8.09,8.09,8.09,-4.45,7.95,,,,,,
2019-01-01 06:00:00+01:00,,-8.99,,52.88,22.54,28.53,,11.7,,-17.25,-17.25,-17.25,25.54,56.0,25.54,20.9,51.2,,60.0,-8.99,27.99,,68.29,,,,20.9,20.9,,20.9,20.9,20.9,20.9,20.9,25.54,25.54,,,,,49.75,48.16,48.16,46.17,46.17,48.16,8.81,56.0,27.97,31.94,25.54,25.54,25.54,25.54,-8.99,11.7,,,,,,
2019-01-01 07:00:00+01:00,,-6.05,,61.78,22.55,26.84,,5.01,,-15.07,-15.07,-15.07,39.16,61.09,39.16,26.54,56.72,,64.83,-6.05,28.49,,63.03,,,,26.54,26.54,,26.54,26.54,26.54,26.54,26.54,39.16,39.16,,,,,55.12,49.09,49.09,46.1,46.1,49.09,7.55,61.09,28.47,44.93,39.16,39.16,39.16,39.16,-6.05,5.01,,,,,,
2019-01-01 08:00:00+01:00,,1.53,,50.08,24.5,28.7,,1.01,,-4.93,-4.93,-4.93,37.66,61.01,37.66,25.0,43.37,,64.19,1.53,33.98,,51.62,,,,25.0,25.0,,25.0,25.0,25.0,25.0,25.0,37.66,37.66,,,,,44.8,47.63,47.63,45.75,45.75,47.63,6.96,61.01,33.96,40.32,37.66,37.66,37.66,37.66,1.53,1.01,,,,,,
2019-01-01 09:00:00+01:00,,0.41,,50.27,24.53,35.7,,0.11,,-6.33,-6.33,-6.33,21.52,61.0,21.52,25.0,49.11,,70.3,0.41,41.24,,51.63,,,,25.0,25.0,,25.0,25.0,25.0,25.0,25.0,21.52,21.52,,,,,49.58,47.99,47.99,46.01,46.01,47.99,8.2,61.0,41.22,45.03,21.52,21.52,21.52,21.52,0.41,0.11,,,,,,
2019-01-01 10:00:00+01:00,,14.34,,66.36,24.52,37.53,,14.8,,-4.93,-4.93,-4.93,28.25,63.0,28.25,34.64,57.03,,70.34,14.34,41.0,,59.96,,,,34.64,34.64,,34.64,34.64,34.64,34.64,34.64,28.25,28.25,,,,,55.44,49.2,49.2,46.92,46.92,49.2,11.38,63.0,40.97,49.97,28.25,28.25,28.25,28.25,14.34,14.8,,,,,,
2019-01-01 11:00:00+01:00,,9.2,,75.08,24.5,38.36,,15.5,,0.45,0.45,0.45,19.29,63.0,19.29,41.03,64.4,,70.34,41.03,45.16,,67.73,,,,41.03,41.03,,41.03,41.03,41.03,41.03,41.03,19.29,19.29,,,,,62.62,49.39,49.39,47.36,47.36,49.39,11.63,63.0,45.13,52.01,19.29,19.29,19.29,19.29,41.03,15.5,,,,,,
2019-01-01 12:00:00+01:00,,10.68,,90.66,24.5,43.95,,16.5,,0.12,0.12,0.12,19.32,64.03,19.32,48.97,60.11,,67.67,48.97,44.07,,64.09,,,,48.97,48.97,,48.97,48.97,48.97,48.97,48.97,19.32,19.32,,,,,57.4,49.2,49.2,47.55,47.55,49.2,9.53,64.03,44.04,52.0,19.32,19.32,19.32,19.32,48.97,16.5,,,,,,
2019-01-01 13:00:00+01:00,,8.85,,75.71,24.5,43.07,,16.0,,-0.02,-0.02,-0.02,16.21,65.88,16.21,41.06,64.39,,70.36,41.06,41.16,,80.0,,,,41.06,41.06,,41.06,41.06,41.06,41.06,41.06,16.21,16.21,,,,,50.76,49.13,49.13,47.71,47.71,49.13,11.58,65.88,41.14,46.91,16.21,16.21,16.21,16.21,41.06,16.0,,,,,,
2019-01-01 14:00:00+01:00,,20.49,,68.3,24.54,38.82,,19.53,,0.0,0.0,0.0,21.47,65.01,21.47,37.95,73.15,,64.51,37.95,42.83,,110.33,,,,37.95,37.95,,37.95,37.95,37.95,37.95,37.95,21.47,21.47,,,,,49.92,48.33,48.33,47.8,47.8,48.33,11.61,65.01,42.8,40.57,21.47,21.47,21.47,21.47,37.95,19.53,,,,,,
2019-01-01 15:00:00+01:00,,18.78,,61.83,46.05,48.02,,5.0,,-0.03,-0.03,-0.03,32.69,60.84,32.69,33.42,77.75,,64.89,53.59,54.91,,100.28,,,,53.59,53.59,,53.59,53.59,53.59,53.59,53.59,32.69,32.69,,,,,50.05,48.45,48.45,48.08,48.08,48.45,11.7,60.84,54.88,52.08,32.69,32.69,32.69,32.69,53.59,5.0,,,,,,
2019-01-01 16:00:00+01:00,,21.75,,72.12,97.02,48.93,,20.0,,1.97,1.97,1.97,29.34,61.09,29.34,39.8,54.31,,65.22,58.65,72.02,,110.33,,,,58.65,58.65,,58.65,58.65,58.65,58.65,58.65,29.34,29.34,,,,,50.6,48.98,48.98,48.13,48.13,48.98,29.25,61.09,71.98,69.57,29.34,29.34,29.34,29.34,58.65,20.0,,,,,,
2019-01-01 17:00:00+01:00,,40.1,,62.58,98.7,50.99,,16.74,,9.06,9.06,9.06,30.19,63.08,30.19,44.29,77.65,,66.0,64.64,73.8,,185.0,,,,64.64,64.64,,64.64,64.64,64.64,64.64,64.64,30.19,30.19,,,,,60.72,49.45,49.45,48.15,48.15,49.45,30.11,63.08,73.76,69.58,30.19,30.19,30.19,30.19,64.64,16.74,,,,,,
2019-01-01 18:00:00+01:00,,40.0,,56.94,97.03,52.79,,22.14,,0.07,0.07,0.07,30.09,66.66,30.09,62.65,94.19,,67.79,65.0,72.02,,270.0,,,,65.0,65.0,,65.0,65.0,65.0,65.0,65.0,30.09,30.09,,,,,50.51,48.89,48.89,48.05,48.05,48.89,30.01,66.66,71.98,70.02,30.09,30.09,30.09,30.09,65.0,22.14,,,,,,
2019-01-01 19:00:00+01:00,,25.07,,57.89,95.66,55.17,,23.27,,-4.97,-4.97,-4.97,29.58,67.06,29.58,65.56,78.33,,68.29,65.56,70.63,,250.0,,,,65.56,65.56,,65.56,65.56,65.56,75.01,65.56,29.58,29.58,,,,,47.35,48.91,48.91,47.76,47.76,48.91,29.5,67.06,70.6,70.02,29.58,29.58,29.58,29.58,65.56,23.27,,,,,,
2019-01-01 20:00:00+01:00,,32.63,,51.3,83.46,55.05,,23.0,,-6.98,-6.98,-6.98,36.91,67.26,36.91,61.27,76.58,,68.25,64.23,68.38,,148.0,,,,64.23,64.23,,64.23,64.23,64.23,87.0,64.23,36.91,36.91,,,,,50.4,49.31,49.31,47.67,47.67,49.31,28.37,67.26,68.35,70.07,36.91,36.91,36.91,36.91,64.23,23.0,,,,,,
2019-01-01 21:00:00+01:00,,0.02,,51.89,71.59,50.7,,20.0,,-24.93,-16.01,-16.01,33.14,68.07,33.14,57.41,67.05,,67.94,61.72,53.12,,90.0,,,,61.72,61.72,,61.72,61.72,61.72,74.97,61.72,33.14,33.14,,,,,47.53,49.1,49.1,47.57,47.57,49.1,19.89,68.07,53.1,71.32,33.14,33.14,33.14,33.14,61.72,20.0,,,,,,
2019-01-01 22:00:00+01:00,,1.76,,60.88,51.16,55.12,,18.0,,-4.87,-4.87,-4.87,21.61,67.08,21.61,58.65,59.79,,68.0,58.65,36.86,,66.0,,,,58.65,58.65,,58.65,58.65,58.65,58.65,58.65,21.61,21.61,,,,,51.06,49.42,49.42,47.48,47.48,49.42,12.33,67.08,36.85,70.09,21.61,21.61,21.61,21.61,58.65,18.0,,,,,,
2019-01-01 23:00:00+01:00,,-4.95,,60.74,46.06,55.11,,-0.99,,-28.93,-28.93,-28.93,4.04,64.03,4.04,54.91,55.95,,64.9,54.91,23.95,,89.0,,,,54.91,54.91,,54.91,54.91,54.91,54.91,54.91,4.04,4.04,,,,,47.55,49.12,49.12,47.21,47.21,49.12,1.38,64.03,23.94,69.56,4.04,4.04,4.04,4.04,54.91,-0.99,,,,,,
2019-01-02 00:00:00+01:00,,-4.98,,65.96,22.54,49.97,,1.0,,-33.57,-33.57,-33.57,9.7,61.74,9.7,53.11,54.36,,48.45,53.11,23.99,,76.09,,,,53.11,53.11,,53.11,53.11,53.11,53.11,53.11,9.7,9.7,,,,,49.0,49.16,49.16,47.09,47.09,49.16,4.62,61.74,24.01,90.08,9.7,9.7,9.7,9.7,53.11,1.0,,,,,,
2019-01-02 01:00:00+01:00,,-16.4,,57.9,22.51,48.66,,-2.0,,-45.92,-45.92,-45.92,6.32,53.0,6.32,45.87,57.62,,45.45,45.87,17.16,,76.2,,,,45.87,45.87,,45.87,45.87,45.87,45.87,45.87,2.15,6.32,,,,,46.6,48.14,48.14,47.15,47.15,48.14,2.15,54.87,17.17,53.09,6.32,6.32,6.32,6.32,45.87,-2.0,,,,,,
2019-01-02 02:00:00+01:00,,-16.45,,56.48,10.08,41.56,,-3.48,,-48.29,-48.29,-48.29,4.35,48.23,4.35,39.15,58.16,,31.5,19.2,15.39,,73.66,,,,39.15,39.15,,39.15,39.15,39.15,39.15,39.15,1.17,4.35,,,,,46.6,48.14,48.14,46.97,46.97,48.14,1.17,54.42,15.4,35.01,4.35,4.35,4.35,4.35,19.2,-3.48,,,,,,
2019-01-02 03:00:00+01:00,,-16.49,,46.68,10.03,43.07,,-7.0,,-44.99,-33.6,-33.6,8.81,47.23,8.81,25.84,55.35,,37.28,1.3,7.92,,71.38,,,,36.0,36.0,,36.0,36.0,36.0,36.0,36.0,8.81,8.81,,,,,45.73,47.24,47.24,47.1,47.1,47.24,2.3,52.99,7.92,28.05,8.81,8.81,8.81,8.81,1.3,-7.0,,,,,,
