index,AL,AT,BA,BE,BG,CH,CY,CZ,DE_LU,DK_1,DK_2,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IS,IT,IT_BRNN,IT_CALA,IT_CNOR,IT_CSUD,IT_FOGN,IT_NORD,IT_PRGP,IT_ROSN,IT_SARD,IT_SICI,IT_SUD,LT,LV,MD,ME,MK,MT,NL,NO_1,NO_2,NO_3,NO_4,NO_5,PL,PT,RO,RS,SE_1,SE_2,SE_3,SE_4,SI,SK,TR,UA,UA_BEI,UA_IPS,XK
2023-01-01 00:00:00+01:00,,12.06,,-4.39,20.02,0.03,,4.84,-5.17,2.01,2.01,2.01,0.0,2.01,0.0,,,230.9,15.36,19.76,166.1,,,,195.9,195.9,195.9,,195.9,,,195.9,195.9,195.9,2.01,2.01,,,,,-3.61,119.32,119.32,23.35,23.35,119.32,18.09,0.0,20.02,19.06,2.01,2.01,2.01,2.01,13.31,20.26,,,,,
2023-01-01 01:00:00+01:00,,-0.1,,-1.75,0.18,-7.25,,-0.35,-1.07,1.38,1.38,1.38,0.0,1.38,-0.1,,,268.19,0.01,0.19,160.38,,,,191.09,191.09,191.09,,191.09,,,191.09,191.09,191.09,1.38,1.38,,,,,-1.46,108.83,108.83,23.28,23.28,108.83,5.75,0.0,0.18,10.98,1.38,1.38,1.38,1.38,-0.07,0.33,,,,,
2023-01-01 02:00:00+01:00,,-0.66,,-1.46,0.01,-3.99,,-0.97,-1.47,0.09,0.09,0.09,0.0,0.09,-1.33,,,229.58,-0.3,0.07,157.75,,,,187.95,187.95,187.95,,187.95,,,187.95,187.95,187.95,0.09,0.09,,,,,-1.52,102.39,102.39,23.37,23.37,102.39,5.27,0.0,0.01,5.03,0.09,0.09,0.09,0.09,-0.47,0.5,,,,,
2023-01-01 03:00:00+01:00,,-1.99,,-5.27,0.01,-7.71,,-1.93,-5.08,0.08,0.08,0.08,0.0,0.08,-4.08,,,235.98,-1.05,0.01,147.5,,,,187.82,187.82,187.82,,187.82,,,187.82,187.82,187.82,0.08,0.08,,,,,-5.0,92.36,92.36,23.67,23.67,92.36,5.74,0.0,0.01,5.0,0.08,0.08,0.08,0.08,-1.56,0.5,,,,,
2023-01-01 04:00:00+01:00,,-2.42,,-4.41,0.01,-9.71,,-3.07,-4.49,0.05,0.05,0.05,0.0,0.05,-4.16,,,234.28,-1.45,-0.77,144.71,,,,187.74,187.74,187.74,,187.74,,,187.74,187.74,187.74,0.05,0.05,,,,,-4.6,82.66,82.66,24.12,24.12,82.66,5.22,0.0,0.01,4.46,0.05,0.05,0.05,0.05,-1.94,0.1,,,,,
2023-01-01 05:00:00+01:00,,-1.86,,-5.4,0.01,-15.15,,-1.86,-5.4,0.0,0.08,0.08,0.0,0.08,-3.58,,,237.63,-0.95,0.01,144.71,,,,187.74,187.74,187.74,,187.74,,,187.74,187.74,187.74,0.08,0.08,,,,,-4.05,79.58,79.58,32.24,24.67,80.58,6.14,0.0,0.01,3.0,0.08,0.08,0.08,0.08,-1.42,0.72,,,,,
2023-01-01 06:00:00+01:00,,-3.35,,-4.69,0.01,-14.33,,-3.44,-5.02,-0.38,0.09,0.09,0.0,0.09,-4.37,,,239.66,-2.53,-2.56,142.53,,,,187.22,187.22,187.22,,187.22,,,187.22,187.22,187.22,0.09,0.09,,,,,-3.6,77.65,77.65,35.93,24.54,77.65,5.31,0.0,0.0,9.07,0.09,0.09,0.09,0.09,-2.97,-2.45,,,,,
2023-01-01 07:00:00+01:00,,0.0,,-1.31,0.01,-0.66,,-0.47,-1.3,0.0,0.53,0.53,0.0,0.53,-0.12,,,231.88,-0.09,0.02,136.3,,,,187.82,187.82,187.82,,187.82,,,187.82,187.82,187.82,0.53,0.53,,,,,0.0,66.27,66.27,42.78,24.69,66.27,5.99,0.0,0.01,4.07,0.53,0.53,0.53,0.53,-0.12,0.04,,,,,
2023-01-01 08:00:00+01:00,,-0.22,,-1.57,0.29,0.02,,-0.3,-1.44,0.0,2.03,2.03,0.0,2.03,-0.06,,,186.47,0.03,0.3,149.86,,,,186.47,186.47,186.47,,186.47,,,186.47,186.47,186.47,2.03,2.03,,,,,0.0,80.89,80.89,47.7,24.84,80.89,6.63,0.0,0.29,10.25,2.03,2.03,2.03,2.03,-0.06,0.48,,,,,
2023-01-01 09:00:00+01:00,,0.29,,-1.03,0.93,-1.23,,0.26,-1.09,0.04,3.1,3.1,0.0,3.1,0.0,,,186.47,0.6,0.95,160.0,,,,186.47,186.47,186.47,,186.47,,,186.47,186.47,186.47,3.1,3.1,,,,,0.0,93.73,93.73,53.38,25.18,93.73,6.64,0.0,0.93,12.09,3.1,3.1,3.1,3.1,0.47,1.19,,,,,
